model,n,rmse,mae,freeze_thaw_accuracy,cold_n,cold_rmse,gate
persistence,1999,5.043245367372966,4.244531432382859,0.2766383191595798,1446,5.91088345510227,baseline
default,1999,0.2049395080143071,0.16798185405918278,0.991495747873937,1446,0.1275412551566676,PASS
