k0,beats_bg,delta_rmse,dx_l2,dx_max_abs,train_da,train_bg,train_delta,degradation_da,degradation_bg,tair_mean,tair_std,tair_range,tair_trend_abs,sw_mean,lw_mean,vz_mean,rhz_mean,is_night_fraction,const_rmse,obs_std,obs_range,obs_trend_abs,obs_step_change_mean,obs_step_change_max,freeze_crossing_count,cold_fraction,bg_init_error,dx_layer1,dx_layer2,dx_layer3,dx_layer4
1500,False,0.11826538169197154,1.526533945186483,1.2867659488768322,0.3913126174365683,0.7144742806794045,-0.32316166324283624,1.64341051653771,0.7345567268819269,1.9111979166666666,0.44979110076163514,1.7458333333333333,1.7458333333333333,0.11119791666666666,225.16234375000002,2.7029687499999993,61.33841177343504,0.375,0.7907692098754457,0.41261758284872674,1.5941666666666665,1.5941666666666665,0.004163187195546277,0.007500000000000062,0,1.0,0.7144742806794045,-0.07809194698805465,-0.3427142614394799,-1.2867659488768322,-0.7422855659645557
2100,False,0.020010188370350596,0.7032488472445004,0.5924819424326472,0.17231704862424307,0.3210106578161625,-0.14869360919191943,1.3424334467603547,0.6582771506324245,-0.22343749999999993,0.39525156901233544,1.4958333333333333,1.4958333333333333,0.0,222.34984375000002,2.3721354166666666,71.18075538905242,1.0,0.8336836850327676,0.394131058492994,1.3458333333333332,1.3458333333333332,0.0028096729297146833,0.0050000000000003375,0,1.0,0.3210106578161625,-0.020493010540771895,-0.0941608143762468,-0.5924819424326472,-0.3663848613097079
2700,True,-0.004572265499258488,0.3256441119928026,0.2660687268030899,0.13089954967674416,0.17401964889654836,-0.0431200992198042,3.498895738602783,2.658183400445977,-1.1186458333333333,0.08694144225159275,0.30000000000000004,0.10166666666666657,2.3989583333333333,222.08624999999998,2.3553124999999997,79.87716346912609,0.625,0.843270499896309,0.6046840733765003,1.9900000000000002,1.9399999999999995,0.004258872651356996,0.010000000000000231,0,1.0,0.17401964889654836,0.023424744156962274,0.06387713438450889,0.2660687268030899,0.1749928951613977
3300,True,-0.03848888681850049,1.2707789206586901,1.0949738909434765,0.33161669761980467,0.5888096990559015,-0.25719300143609686,3.3190429528143155,1.934647054753966,1.0723958333333334,0.6382190168389383,2.496666666666667,2.496666666666667,53.90088541666666,269.79895833333336,3.0306249999999997,83.17143745761837,0.0,2.922147662560117,1.3202839452862236,4.2,4.2,0.009603340292275575,0.02333333333333365,1,0.23333333333333334,0.5888096990559015,0.07681207611366696,0.2788807970497935,1.0949738909434765,0.5763997305191502
