window,n,default_rmse,const_initial_rmse,freeze_thaw_accuracy,beats_const_initial
0,960,0.3439719926994801,3.195886199403389,0.9770833333333333,True
1,959,0.22322988179585954,3.6376512721663743,0.9927007299270073,True
2,959,0.05898540294437049,1.9783779733991342,1.0,True
3,959,0.11225370531221021,3.7561360006719635,0.9958289885297185,True
4,959,0.2629201911093257,3.1586243919581243,0.9822732012513035,True
5,959,0.12087322227308013,2.1185725069105903,1.0,True
